"job_id","job_title","company_name","job_description","created_at","modified_at","expiry_date","number_of_openings","education","experience","city","state","salary","trade","type_of_work"
"57e39e2a-016a-4e41-aed7-d16d5ef842ef",Delivery boy,"FLIPKART,RAPIDO, UBER, SHADOFAX, ZEPTO, ZOMATO, SWIGGI","<p>COMPANY NAME : FLIPKART, RAPIDO, UBER, SHADOFAX, ZEPTO, ZOMATO, SWIGGI</p><p><br></p><p>PROCESS : PARCEL, PASSENGER PICK &amp; DROP, MEDICINE, GROCERY AND FOOD DELIVERY</p><p><br></p><p>EARN INCOME : 15000-30000</p><p><br></p><p>DOCUMENTS : BIKE, DL, RC MUST</p>",2022-04-09 00:25:42.068 +0530,2022-05-30 20:51:00.656 +0530,2022-05-09 00:25:42.068 +0530,250,"8th Class or Below","0-2 Yrs",Udaipur,Rajasthan,Rs. 15001 to Rs.25000,Delivery Executive,Full Time
eb790d02-e73a-4560-9ec4-8252119f7353,Ac technician,The maaster,<p>Ac repair aur installation karna aana chahiye </p>,2022-03-01 21:47:01.637 +0530,2022-03-02 10:09:52.073 +0530,2022-03-31 21:47:01.637 +0530,2,"12th pass","3-5 yrs",Delhi,Delhi,Rs. 10000 to Rs.15000,AC Technician,Full Time
"3fc6b9fa-84f8-4876-a2f8-44f0dbf55886",delivery boy,IKamate HR India Pvt. Ltd,<p> We are looking candidates for Blue Dart Company</p><p>Designation : Delivery Executive</p><p><br></p><p>Education : 10th to Graduate</p><p><br></p><p>Experience : 01 month to 3 Years</p><p><br></p><p>Job Location : vadodra</p><p><br></p><p>Salary : 12000 CTC+ Petrol+ Incentive</p>,2022-04-27 15:41:35.866 +0530,2022-04-28 11:49:48.832 +0530,2022-05-27 15:41:35.866 +0530,50,"10th Pass",Fresher,Vadodara,Gujarat,Less than Rs.10000,Delivery Executive,Full Time
"06dacc17-28cb-4ea6-9544-edb7ea6cc42a",Storekeeper,Amul company,"<p>Urgent requirement for different post in Bihar Jharkhand.</p><p>Post-Helper, Storekeeper, supervisor, senior supervisor</p><p>Call now-9199301398</p>",2022-03-15 11:11:07.890 +0530,2022-03-15 11:11:07.890 +0530,2022-04-14 11:11:07.890 +0530,32,"10th Pass",Fresher,Arwal,Bihar,Rs. 10000 to Rs.15000,Food Processing,Full Time
aeac3924-9144-4d2d-a074-e3b2402b773c,"5 star hotel waiter",Kamal Taj Enterprises,"<p><strong class=""ql-size-large"">TAKE ORDERS BY CUSTOMER AND SERVE ORDER CAREFULLY</strong></p>",2022-03-29 17:36:08.968 +0530,2022-03-29 18:17:26.519 +0530,2022-04-28 17:36:08.968 +0530,50,"8th Class or Below",Fresher,Delhi,Delhi,Rs. 10000 to Rs.15000,Waiter,Full Time
d997fe63-96bc-46ac-b0cb-dd8f775c4b8a,House Maid required|| Kankhal || Haridwar,RPS Group Manpower & Placement Services,<p>House Maid Required</p><p>Haridwar Location</p><p><br></p>,2022-03-29 18:00:43.626 +0530,2022-04-05 14:02:20.695 +0530,2022-04-28 18:00:43.626 +0530,1,"8th Class or Below","0-2 Yrs",Haridwar,Uttarakhand,Rs. 10000 to Rs.15000,Cook,Full Time
"687ebe76-8f3b-4770-9387-e538f6a1bce5",Urgent hiring for Delivery Boy/Shadowfax Delivery Partner,RPS Group Manpower & Placement Services,"<p><strong><em>Shadowfax</em></strong>&nbsp;is the Best last mile&nbsp;<strong><em>delivery</em></strong>&nbsp;service provider across Food, E-commerce, Groceries, Pharma, FMCG, Consumer durables, Auto, BFSI, Telecom, Freight forwarding.&nbsp;</p><p><strong><em>Shadowfax</em></strong>&nbsp;is looking for reliable professionals who can take last-mile logistics to the next level.&nbsp;<strong><em>Delivery partner jobs</em></strong>&nbsp;with great payouts &amp; incentives.</p><p>Cities like Bangalore, Chennai, Mumbai Delhi candidates will get RS.1000/- Joining bonus if they complete 50 orders within 7 days.</p><p>&nbsp;</p><p>Call us now 8979588462.</p><p>&nbsp;</p><p>Candidate should have:-</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Smartphone</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Bike</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Valid Driving License</p><p>&nbsp;</p><p>Thanks,</p><p>Priya</p><p>8979588462/8979588162</p><p>rpsgroupplacementservices@gmail.com</p><p>Shadowfax Associate</p>",2022-03-23 19:27:42.510 +0530,2022-04-05 14:02:51.669 +0530,2022-04-22 19:27:42.510 +0530,1000,"10th Pass","0-2 Yrs",Bangalore,Karnataka,Rs. 15001 to Rs.25000,Delivery Executive,Full Time
d11ef0e6-3da1-4b35-a565-11f197f6f4ad,Urgent hiring for Delivery Boy/Shadowfax Delivery Partner,RPS Group Manpower & Placement Services,"<p><strong><em>Shadowfax</em></strong>&nbsp;is the Best last mile&nbsp;<strong><em>delivery</em></strong>&nbsp;service provider across Food, E-commerce, Groceries, Pharma, FMCG, Consumer durables, Auto, BFSI, Telecom, Freight forwarding.&nbsp;</p><p><strong><em>Shadowfax</em></strong>&nbsp;is looking for reliable professionals who can take last-mile logistics to the next level.&nbsp;<strong><em>Delivery partner jobs</em></strong>&nbsp;with great payouts &amp; incentives.</p><p>Cities like Bangalore, Chennai, Mumbai Delhi candidates will get RS.1000/- Joining bonus if they complete 50 orders within 7 days.</p><p>&nbsp;</p><p>Call us now 8979588462.</p><p>&nbsp;</p><p>Candidate should have:-</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Smartphone</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Bike</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Valid Driving License</p><p>&nbsp;</p><p>Thanks,</p><p>Priya</p><p>8979588462/8979588162</p><p>rpsgroupplacementservices@gmail.com</p><p>Shadowfax Associate</p>",2022-03-23 19:24:27.614 +0530,2022-04-05 14:02:54.311 +0530,2022-04-22 19:24:27.614 +0530,1000,"10th Pass","0-2 Yrs",Kolkata,West Bengal,Rs. 15001 to Rs.25000,Delivery Executive,Full Time
"663c8ea7-2a27-4816-981c-cfbf238dec8a","FLIPKART,RAPIDO, UBER, SHADOFAX, ZEPTO, ZOMATO, SWIGGI","FLIPKART,RAPIDO, UBER, SHADOFAX, ZEPTO, ZOMATO, SWIGGI","<p>COMPANY NAME : FLIPKART, RAPIDO, UBER, SHADOFAX, ZEPTO, ZOMATO, SWIGGI</p><p><br></p><p>PROCESS : PARCEL, PASSENGER PICK &amp; DROP, MEDICINE, GROCERY AND FOOD DELIVERY</p><p><br></p><p>EARN INCOME : 15000-30000</p><p><br></p><p>DOCUMENTS : BIKE, DL, RC MUST</p>",2022-04-09 00:34:48.983 +0530,2022-05-30 20:50:39.223 +0530,2022-05-09 00:34:48.983 +0530,250,"8th Class or Below","0-2 Yrs",Bharuch,Gujarat,Rs. 15001 to Rs.25000,Delivery Executive,Full Time
"97fc1c73-2acb-41c7-bb9b-79cb925042ec",Security Guard,Ratna Facility Management,"<p>Work 12 hour shifts, Day shift and Night shift by rotation.</p><p>Monitor and guard area assigned</p>",2022-03-29 16:56:50.197 +0530,2022-03-29 16:56:50.197 +0530,2022-04-28 16:56:50.197 +0530,30,"10th Pass","0-2 Yrs",Mumbai Suburban,Maharashtra,Rs. 10000 to Rs.15000,Security Guard,Full Time
"3e8ea813-c763-4840-8a22-55a0bf57c41a",Delivery boy,"FLIPKART,RAPIDO, UBER, SHADOFAX, ZEPTO, ZOMATO, SWIGGI","<p>COMPANY NAME : FLIPKART, RAPIDO, UBER, SHADOFAX, ZEPTO, ZOMATO, SWIGGI</p><p><br></p><p>PROCESS : PARCEL, PASSENGER PICK &amp; DROP, MEDICINE, GROCERY AND FOOD DELIVERY</p><p><br></p><p>EARN INCOME : 15000-30000</p><p><br></p><p>DOCUMENTS : BIKE, DL, RC MUST</p>",2022-04-09 00:31:56.915 +0530,2022-05-30 20:50:45.523 +0530,2022-05-09 00:31:56.915 +0530,250,"8th Class or Below","0-2 Yrs",Nanded,Maharashtra,Rs. 15001 to Rs.25000,Delivery Executive,Full Time
"6b102c77-4ff7-4cfa-9957-cae463f66c95",Hk,Bank,,2022-01-29 11:07:02.196 +0530,2022-01-29 11:45:28.659 +0530,2022-02-28 11:07:02.196 +0530,10,"12th pass",Fresher,Mumbai Suburban,Maharashtra,Rs. 15001 to Rs.25000,Housekeeping,Full Time
"4a3f86af-9259-4f9d-b2f1-058dad36e41a",Delivery boy ,Sure staffing services,"<p>Food delivery, parcel delivery</p>",2022-05-02 15:21:29.306 +0530,2022-05-02 15:21:29.306 +0530,2022-06-01 15:21:29.306 +0530,50,"8th Class or Below","0-2 Yrs",Delhi,Delhi,Rs. 15001 to Rs.25000,Delivery Executive,Full Time
ff914114-2c39-47f8-bed0-63ad37fabd27,Food processing,Sure staffing services,<p>Food delivery boy </p>,2022-05-01 07:33:10.411 +0530,2022-05-01 07:33:10.411 +0530,2022-05-31 07:33:10.411 +0530,100,"12th pass",Fresher,Mumbai,Maharashtra,Rs. 15001 to Rs.25000,Food Processing,Full Time
a97b5bc3-e85d-4988-aa56-e8f4332f50b9,Field sales executive ,Genius consultant Pvt Ltd ,<p>Urgent hiring for (VSM-SEAL) Filed sales executive</p><p><br></p><p>Required</p><p><br></p><p>1. Minium Qualification Graduate</p><p><br></p><p>2. Exp 2-3 year of experience in automobile or auto ancillary sector</p><p><br></p><p>3. Should have on 2 wheeler 4.Maximum age 26 year</p><p><br></p><p>SALARY 30000/- CTC</p><p><br></p><p>Location All Delhi</p><p><br></p><p>Needed person send your Resume</p><p><br></p><p>Himanshu gupta</p><p><br></p><p>7503448400</p><p><br></p>,2022-02-16 12:55:35.457 +0530,2022-02-16 12:55:35.457 +0530,2022-03-18 12:55:35.457 +0530,8,Graduate,"0-2 Yrs",Delhi,Delhi,Rs. 25001 to Rs. 50000,Automobile Technician,Full Time
"46ef1acf-d501-4a1a-bb7e-bec7895e2242",Trainees,YSF,"<p>To be Deployed as Trainee for learning &amp; supporting in Production, Quality, Maintenance Departments. Willingness to work in Shifts as per Industry Requirements</p>",2022-03-02 09:32:41.520 +0530,2022-03-02 09:32:41.520 +0530,2022-04-01 09:32:41.520 +0530,250,Diploma,Fresher,Pune,Maharashtra,Rs. 10000 to Rs.15000,Mechanical,Full Time
a4935cce-5528-4d8c-853c-007b7c4684b0,Manufacturing ,ACH industry ,<p>कपड़े कि सेलिंग करना है</p>,2022-03-23 12:20:04.567 +0530,2022-05-19 21:51:35.865 +0530,2022-04-22 12:20:04.567 +0530,80,ITI,Fresher,Basti,Uttar Pradesh,Rs. 15001 to Rs.25000,Computer Operator and Programming Assistant,Full Time
e1026118-c071-4fd1-a3ac-fc908fa9c7d8,Delivery boy,"FLIPKART,RAPIDO, UBER, SHADOFAX, ZEPTO, ZOMATO, SWIGGI","<p>COMPANY NAME : FLIPKART, RAPIDO, UBER, SHADOFAX, ZEPTO, ZOMATO, SWIGGI</p><p><br></p><p>PROCESS : PARCEL, PASSENGER PICK &amp; DROP, MEDICINE, GROCERY AND FOOD DELIVERY</p><p><br></p><p>EARN INCOME : 15000-30000</p><p><br></p><p>DOCUMENTS : BIKE, DL, RC MUST</p>",2022-04-09 00:28:59.078 +0530,2022-05-30 20:50:51.792 +0530,2022-05-09 00:28:59.078 +0530,250,"8th Class or Below","0-2 Yrs",Salem,Tamilnadu,Rs. 15001 to Rs.25000,Delivery Executive,Full Time
"6fd5c681-2eb3-4cbd-a278-0ff33fe0ddd3",Fitter ,Marg Consultancy And Placement Services LLP,<p>Job Description</p><p>हमें यमुनानागर हरियाणा में फिटर चाहिए |</p><p><br></p><p>कंपनी : फाबिरिकेशन</p><p><br></p><p>सैलरी : 12000 से सुरु</p><p><br></p><p>अनुभव : काम से काम 1 साल होना चाहिए</p><p><br></p>,2022-04-11 14:43:30.274 +0530,2022-04-11 14:43:30.274 +0530,2022-05-11 14:43:30.274 +0530,5,"10th Pass","0-2 Yrs",Yamunanagar,Haryana,Rs. 10000 to Rs.15000,Mechnical Fitter,Full Time
"528c5c42-bbed-4999-b58b-33fb7cc2e5b5",Urgent hiring for Delivery Boy/Shadowfax Delivery Partner,RPS Group Manpower & Placement Services,"<p><strong><em>Shadowfax</em></strong>&nbsp;is the Best last mile&nbsp;<strong><em>delivery</em></strong>&nbsp;service provider across Food, E-commerce, Groceries, Pharma, FMCG, Consumer durables, Auto, BFSI, Telecom, Freight forwarding.&nbsp;</p><p><strong><em>Shadowfax</em></strong>&nbsp;is looking for reliable professionals who can take last-mile logistics to the next level.&nbsp;<strong><em>Delivery partner jobs</em></strong>&nbsp;with great payouts &amp; incentives.</p><p>Cities like Bangalore, Chennai, Mumbai Delhi candidates will get RS.1000/- Joining bonus if they complete 50 orders within 7 days.</p><p>&nbsp;</p><p>Call us now 8979588462.</p><p>&nbsp;</p><p>Candidate should have:-</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Smartphone</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Bike</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Valid Driving License</p><p>&nbsp;</p><p>Thanks,</p><p>Priya</p><p>8979588462/8979588162</p><p>rpsgroupplacementservices@gmail.com</p><p>Shadowfax Associate</p>",2022-03-23 19:20:07.350 +0530,2022-04-05 14:03:02.411 +0530,2022-04-22 19:20:07.350 +0530,1000,"10th Pass","0-2 Yrs",Mumbai,Maharashtra,Rs. 15001 to Rs.25000,Delivery Executive,Full Time
"0a7bf822-e363-495b-bc32-6e735b3cdcd2",Urgent hiring for Delivery Boy/Swiggy Delivery Partner,RPS Group Manpower & Placement Services,"<p>At Swiggy, </p><p>We are always looking for Pick-up and Delivery Partners who take exceptional pride in being a Hunger Saviour.</p><p>&nbsp;</p><p>Call us now 8979588462.</p><p>&nbsp;</p><p>Candidate should have:-</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Smartphone</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Bike</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Valid Driving License</p><p>&nbsp;</p><p>Thanks,</p><p>Priya</p><p>8979588462/8979588162</p><p>rpsgroupplacementservices@gmail.com</p><p>Swiggy Associate</p>",2022-03-23 19:05:20.153 +0530,2022-04-05 14:03:17.382 +0530,2022-04-22 19:05:20.153 +0530,130,"10th Pass","0-2 Yrs",Visakhapatnam,Andhra Pradesh,Rs. 15001 to Rs.25000,Delivery Executive,Full Time
"16c4181e-e909-45fb-9ce4-e10cf147a111",Constrancaction,Sapoorji pallonji,<ol><li>Mohammad kashif</li></ol>,2022-01-29 15:45:30.918 +0530,2022-01-29 15:49:18.915 +0530,2022-02-28 15:45:30.918 +0530,5,"8th Class or Below","3-5 yrs",Kota,Rajasthan,Less than Rs.10000,AC Technician,Full Time
dbd11a47-a129-41b4-9e8f-dd68c87d7f66,fabrication,Marg Consultancy And Placement Services LLP,<p>Job Description</p><p>हमें यमुनानागर हरियाणा में fitter चाहिए |</p><p><br></p><p>कंपनी : फाबिरिकेशन</p><p><br></p><p>सैलरी : 12000 से सुरु</p><p><br></p><p>अनुभव : काम से काम 1 साल होना चाहिए</p><p><br></p>,2022-04-11 14:47:11.378 +0530,2022-04-11 14:47:11.378 +0530,2022-05-11 14:47:11.378 +0530,5,"10th Pass",Fresher,Yamunanagar,Haryana,Rs. 10000 to Rs.15000,Fabrication,Full Time
"2daa3e36-a483-423a-89bb-5a3e7b3a3611",Delivery boy || Delhi ,RPS Group Manpower and Placement Services ,<p>Candidates must have</p><p><br></p><ol><li>Driving licence</li><li>Bike</li><li>Aadhar card</li><li>PAN CARD</li><li>BANK ACCOUNT</li></ol>,2022-04-09 17:08:52.435 +0530,2022-04-12 23:01:08.683 +0530,2022-05-09 17:08:52.435 +0530,100,"10th Pass","0-2 Yrs",Delhi,Delhi,Rs. 15001 to Rs.25000,Delivery Executive,Full Time
"578f5f51-6766-4754-8f98-1e1f3e37bdb7",Car washer rubbing polishing detailer,Vasundhara tyre house,<p>Need a car washing person who knows car detailing</p>,2022-01-29 11:40:34.376 +0530,2022-01-29 11:54:35.646 +0530,2022-02-28 11:40:34.376 +0530,1,"8th Class or Below","0-2 Yrs",Ghaziabad,Uttar Pradesh,Less than Rs.10000,Automobile Technician,Full Time
afd52ef9-c525-4fb3-aaf2-5ec929213c56,delivery boy,Redex Enterprise,<p>We are urgent required Support staff for logistic companies</p><p><br></p><p>Aadhar card and bank account Mandatory</p><p><br></p><p>PF + ESIC Benefits</p><p><br></p><p>Other Incentive</p><p><br></p><p>Age 18 year to 35 Year</p>,2021-12-31 11:41:12.593 +0530,2021-12-31 11:41:12.593 +0530,2022-01-30 11:41:12.593 +0530,50,"8th Class or Below",Fresher,Panchkula,Haryana,Less than Rs.10000,Delivery Executive,Full Time
"826ed315-5f11-449e-850e-06d1d428b912",Technician,Fuji Silvertech Concrete Pvt Ltd,"<ul><li>Procurement of electricals and mechanical parts</li><li>Schedule &amp; breakdown maintenance of EOT, DG Set, TMD Transformer, HT Panel, Compressor, RO Plant, CCTV</li><li>100% preventive maintenance of each and every equipment with record</li><li>Breakdown time in both DG set below 1% against production hours</li><li>Breakdown time in all EOT crane below 1.5% against production hours</li><li>Breakdown time in all compressor below 2% against production hours</li><li>Breakdown time in all RO 0% against production hours</li><li>Breakdown time in general maintenance below 3% against production hours</li><li>To comply the necessary guidelines as per IMS (Integrated management System)</li><li>Complying the necessary guidelines as per IMS (Integrated Management System)</li><li>To support continual implementation and improvement of IMS standards</li><li>To oversee requirements of IMS related formats &amp; adherence for the (respective) Department</li><li>Electrical preventive and predictive maintenance</li><li>Procurement of electricals and mechanical parts</li><li>Schedule &amp; breakdown maintenance of EOT, DG Set, TMD Transformer, HT Panel, Compressor, RO Plant, CCTV</li><li>100% preventive maintenance of each and every equipment with record</li><li>Schedule &amp; breakdown maintenance in both DG</li><li>Schedule &amp; breakdown maintenance in all EOT crane</li><li>Schedule &amp; breakdown maintenance in all compressor</li><li>Schedule &amp; breakdown maintenance in all RO</li><li>Schedule &amp; breakdown maintenance in all general maintenance</li><li>To follow the guidelines as per IMS (Integrated management system)</li><li>Complying the necessary guidelines as per IMS (Integrated Management System)</li><li>To support continual implementation and improvement of IMS standards</li><li>To oversee requirements of IMS related formats &amp; adherence for the (respective) Department</li></ul><p>Authority: -</p><ul><li>preventive maintenance</li><li>Primary Level maintenance</li><li>RO Plant individual operating.</li></ul>",2022-03-15 11:53:26.477 +0530,2022-03-16 12:59:52.757 +0530,2022-04-14 11:53:26.477 +0530,2,ITI,"0-2 Yrs",Ahmedabad,Gujarat,Rs. 15001 to Rs.25000,Machine Operator,Full Time
